fecha_extracción,provincia,marca_modelo,fecha_matriculacion,kilometraje,nombre_vendedor,tipo_vendedor,distintivo_ambiental,garantia,precio_contado,precio_nuevo,carroceria,num_puertas,num_plazas,peso,combustible,potencia_cv,cilindrada,tipo_cambio,num_marchas,largo,ancho,alto,capacidad_maletero,batalla,consumo_medio,consumo_carretera,consumo_urbano,CO2,deposito,cilindros,sobrealimentacion,traccion,potencia_kw,par,velocidad_max,aceleracion
2024-11-04 16:50:01.106559,Madrid,Detalles BMW X3 (2012) ,Matriculado: 05/2012,178000,AVAL CARS MADRID,Profesional,B,12 meses,20990,55950,CarroceríaTodo Terreno,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)2.390,Combustible Diesel,Potencia (CV)258,Cilindrada (cm3) 2.993,Tipo de transmisión Automática secuencial,Número de marchas8,4648 mm Largo,1881 mm Ancho,1661 mm Alto,Capacidad del maletero (l)550/1.600,"Batalla (mm)
2.810","Consumo medio 6,00 litros/100 km","Consumo en carretera 4,80 litros/100 km","Consumo urbano 7,80 litros/100 km",CO2 (g/km) 149 g/km,"Depósito de combustible (l) 67,00 litros",Nº de cilindros 6 cilindros,Sobrealimentación Turbo,TracciónTodo terreno tracción total permanente,Potencia (KW)190,Par (Nm)560,Velocidad máxima (km/h)230,"Aceleración 0-100 km/h (s)6,20"
2024-11-04 16:50:01.106559,Madrid,Detalles LAND-ROVER Range Rover Velar (2018) ,Matriculado: 05/2018,95000,LUXURY MOTOR S.L.,Profesional,C,12 meses,45000 49900 10%,97600,CarroceríaTodo Terreno,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)2.610,Combustible Diesel,Potencia (CV)300,Cilindrada (cm3) 2.993,Tipo de transmisión Automática secuencial,Número de marchas8,4803 mm Largo,2032 mm Ancho,1665 mm Alto,Capacidad del maletero (l)673/1.731,"Batalla (mm)
2.874","Consumo medio 6,40 litros/100 km","Consumo en carretera 5,80 litros/100 km","Consumo urbano 7,40 litros/100 km",CO2 (g/km) 173 g/km,"Depósito de combustible (l) 63,00 litros",Nº de cilindros 6 cilindros,Sobrealimentación Turbo de geometría variable,TracciónTodo terreno tracción total permanente,Potencia (KW)221,Par (Nm)700,Velocidad máxima (km/h)241,"Aceleración 0-100 km/h (s)6,50"
2024-11-04 16:50:01.106559,Málaga,Detalles AUDI Q5 (2023) ,Matriculado: 01/2023,11000,RYAN MILLE EXCLUSIVE CARS,Profesional,ECO,12 meses,79900,85731,CarroceríaTodo Terreno,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)2.660,Combustible Diesel,Potencia (CV)341,Cilindrada (cm3) 2.967,Tipo de transmisión Automática secuencial,Número de marchas8,4682 mm Largo,1893 mm Ancho,1635 mm Alto,Capacidad del maletero (l)510/1.510,"Batalla (mm)
2.824","Consumo medio 7,00 litros/100 km","Consumo en carretera 6,00 litros/100 km","Consumo urbano 8,70 litros/100 km",CO2 (g/km) 185 g/km,"Depósito de combustible (l) 70,00 litros",Nº de cilindros 6 cilindros,Sobrealimentación Turbo de geometría variable,TracciónTodo terreno tracción total permanente,Potencia (KW)251,Par (Nm)700,Velocidad máxima (km/h)250,"Aceleración 0-100 km/h (s)5,10"
2024-11-04 16:50:01.106559,Madrid,Detalles MERCEDES-BENZ Clase C (2013) ,Matriculado: 10/2013,22900,MUGAR SPORT,Profesional,C,12 meses,13900,53308,CarroceríaCoupe,Número de puertas2,Número de plazas4,Peso/Masa max. autorizado (kg)2.020,Combustible Gasolina,Potencia (CV)204,Cilindrada (cm3) 1.796,Tipo de transmisión Automática secuencial,Número de marchas7,4590 mm Largo,1770 mm Ancho,1406 mm Alto,Capacidad del maletero (l)450/0,"Batalla (mm)
2.760","Consumo medio 7,00 litros/100 km","Consumo en carretera 5,70 litros/100 km","Consumo urbano 9,10 litros/100 km",CO2 (g/km) 163 g/km,"Depósito de combustible (l) 59,00 litros",Nº de cilindros 4 cilindros,Sobrealimentación -,TracciónTracción trasera,Potencia (KW)150,Par (Nm)310,Velocidad máxima (km/h)240,"Aceleración 0-100 km/h (s)7,20"
2024-11-04 16:50:01.106559,Madrid,Detalles HYUNDAI i30 (2020) ,Matriculado: 07/2020,17900,AUTOGALLERY PREMIUM,Profesional,C,12 meses,47900,51450,CarroceríaBerlina,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)1.910,Combustible Gasolina,Potencia (CV)275,Cilindrada (cm3) 1.998,Tipo de transmisión Manual,Número de marchas6,4335 mm Largo,1795 mm Ancho,1447 mm Alto,Capacidad del maletero (l)381/1.287,"Batalla (mm)
2.650","Consumo medio 7,70 litros/100 km","Consumo en carretera 6,30 litros/100 km","Consumo urbano 10,20 litros/100 km",CO2 (g/km) 176 g/km,"Depósito de combustible (l) 50,00 litros",Nº de cilindros 4 cilindros,Sobrealimentación Turbo,TracciónTracción delantera,Potencia (KW)202,Par (Nm)378,Velocidad máxima (km/h)250,"Aceleración 0-100 km/h (s)6,00"
2024-11-04 16:50:01.106559,Madrid,Detalles BMW X6 (2010) ,Matriculado: 03/2010,241900,AUTOGALLERY PREMIUM,Profesional,B,1 meses,18900,69100,CarroceríaCoupe,Número de puertas5,Número de plazas4,Peso/Masa max. autorizado (kg)2.710,Combustible Diesel,Potencia (CV)286,Cilindrada (cm3) 2.993,Tipo de transmisión Automática secuencial,Número de marchas6,4877 mm Largo,1983 mm Ancho,1690 mm Alto,Capacidad del maletero (l)570/1.450,"Batalla (mm)
2.933","Consumo medio 8,30 litros/100 km","Consumo en carretera 7,10 litros/100 km","Consumo urbano 10,50 litros/100 km",CO2 (g/km) 220 g/km,"Depósito de combustible (l) 85,00 litros",Nº de cilindros 6 cilindros,Sobrealimentación Turbo de geometría variable,TracciónTodo terreno tracción total permanente,Potencia (KW)210,Par (Nm)580,Velocidad máxima (km/h)236,"Aceleración 0-100 km/h (s)6,90"
2024-11-04 16:50:01.106559,Madrid,Detalles FIAT Panda (2018) ,Matriculado: 07/2018,149000,MUGAR SPORT,Profesional,C,12 meses,7900,12350,CarroceríaBerlina,Número de puertas5,Número de plazas4,Peso/Masa max. autorizado (kg)1.555,Combustible Gasolina,Potencia (CV)69,Cilindrada (cm3) 1.242,Tipo de transmisión Manual,Número de marchas5,3653 mm Largo,1643 mm Ancho,1551 mm Alto,Capacidad del maletero (l)225/870,"Batalla (mm)
2.300","Consumo medio 5,40 litros/100 km","Consumo en carretera 4,70 litros/100 km","Consumo urbano 6,60 litros/100 km",CO2 (g/km) 125 g/km,"Depósito de combustible (l) 37,00 litros",Nº de cilindros 4 cilindros,Sobrealimentación -,TracciónTracción delantera,Potencia (KW)51,Par (Nm)102,Velocidad máxima (km/h)164,"Aceleración 0-100 km/h (s)14,80"
2024-11-04 16:50:01.106559,Valencia,Detalles SUZUKI Swift (2020) ,Matriculado: 11/2020,60000,ORLANDO CARS,Profesional,ECO,12 meses,14300,20265,CarroceríaBerlina,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)1.365,Combustible Gasolina,Potencia (CV)83,Cilindrada (cm3) 1.197,Tipo de transmisión Manual,Número de marchas5,3845 mm Largo,1735 mm Ancho,1495 mm Alto,Capacidad del maletero (l)265/947,"Batalla (mm)
2.450","Consumo medio 0,00 litros/100 km","Consumo en carretera 0,00 litros/100 km","Consumo urbano 0,00 litros/100 km",CO2 (g/km) 88 g/km,"Depósito de combustible (l) 37,00 litros",Nº de cilindros 4 cilindros,Sobrealimentación -,TracciónTracción delantera,Potencia (KW)61,Par (Nm)107,Velocidad máxima (km/h)180,"Aceleración 0-100 km/h (s)13,10"
2024-11-04 16:50:01.106559,Málaga,Detalles SEAT Arona (2021) ,Matriculado: 09/2021,20000,MARTINSA MOTOR,Profesional,C,12 meses,18800,23150,CarroceríaTodo Terreno,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)1.730,Combustible Gasolina,Potencia (CV)110,Cilindrada (cm3) 999,Tipo de transmisión Manual,Número de marchas6,4153 mm Largo,1780 mm Ancho,1552 mm Alto,Capacidad del maletero (l)400/0,"Batalla (mm)
2.566","Consumo medio 0,00 litros/100 km","Consumo en carretera 0,00 litros/100 km","Consumo urbano 0,00 litros/100 km",CO2 (g/km) - g/km,"Depósito de combustible (l) 40,00 litros",Nº de cilindros 3 cilindros,Sobrealimentación Turbo,TracciónTracción delantera,Potencia (KW)81,Par (Nm)200,Velocidad máxima (km/h)190,"Aceleración 0-100 km/h (s)10,30"
2024-11-04 16:50:01.106559,Madrid,Detalles MERCEDES-BENZ Clase SLK (2010) ,Matriculado: 02/2010,165000,COCHES A MIL,Profesional,C,12 meses,13900,44855,CarroceríaRoadster,Número de puertas2,Número de plazas2,Peso/Masa max. autorizado (kg)1.890,Combustible Gasolina,Potencia (CV)184,Cilindrada (cm3) 1.796,Tipo de transmisión Manual,Número de marchas6,4103 mm Largo,1777 mm Ancho,1298 mm Alto,Capacidad del maletero (l)208/300,"Batalla (mm)
2.430","Consumo medio 7,70 litros/100 km","Consumo en carretera 5,70 litros/100 km","Consumo urbano 11,00 litros/100 km",CO2 (g/km) 182 g/km,"Depósito de combustible (l) 70,00 litros",Nº de cilindros 4 cilindros,Sobrealimentación Compresor de raices,TracciónTracción trasera,Potencia (KW)135,Par (Nm)250,Velocidad máxima (km/h)236,"Aceleración 0-100 km/h (s)7,60"
2024-11-04 16:50:01.106559,Madrid,Detalles AUDI Q7 (2008) ,Matriculado: 05/2008,99800,THE GARAGE GALLERY.,Profesional,B,12 meses,18880,59350,CarroceríaTodo Terreno,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)2.990,Combustible Diesel,Potencia (CV)240,Cilindrada (cm3) 2.967,Tipo de transmisión Automática secuencial,Número de marchas6,5086 mm Largo,1983 mm Ancho,1737 mm Alto,Capacidad del maletero (l)775/2.035,"Batalla (mm)
3.002","Consumo medio 9,80 litros/100 km","Consumo en carretera 8,10 litros/100 km","Consumo urbano 12,90 litros/100 km",CO2 (g/km) 239 g/km,"Depósito de combustible (l) 100,00 litros",Nº de cilindros 6 cilindros,Sobrealimentación Turbo de geometría variable,TracciónTodo terreno tracción total permanente,Potencia (KW)177,Par (Nm)550,Velocidad máxima (km/h)210,"Aceleración 0-100 km/h (s)8,50"
2024-11-04 16:50:01.106559,Madrid,Detalles CHEVROLET Aveo (2012) ,Matriculado: 06/2012,40000,Fc Klassic Cars,Profesional,C,12 meses,5990,11945,CarroceríaBerlina,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)1.535,Combustible Gasolina,Potencia (CV)86,Cilindrada (cm3) 1.229,Tipo de transmisión Manual,Número de marchas5,4039 mm Largo,1735 mm Ancho,1517 mm Alto,Capacidad del maletero (l)290/653,"Batalla (mm)
2.525","Consumo medio 5,10 litros/100 km","Consumo en carretera 4,30 litros/100 km","Consumo urbano 6,50 litros/100 km",CO2 (g/km) 111 g/km,"Depósito de combustible (l) 40,00 litros",Nº de cilindros 4 cilindros,Sobrealimentación -,TracciónTracción delantera,Potencia (KW)63,Par (Nm)115,Velocidad máxima (km/h)183,"Aceleración 0-100 km/h (s)13,60"
2024-11-04 16:50:01.106559,Madrid,Detalles CHRYSLER Crossfire (2006) ,Matriculado: 06/2006,94000,Fc Klassic Cars,Profesional,C,12 meses,15990,44128,CarroceríaRoadster,Número de puertas2,Número de plazas2,Peso/Masa max. autorizado (kg)1.630,Combustible Gasolina,Potencia (CV)218,Cilindrada (cm3) 3.199,Tipo de transmisión Manual,Número de marchas6,4058 mm Largo,1766 mm Ancho,1296 mm Alto,Capacidad del maletero (l)104/0,"Batalla (mm)
2.400","Consumo medio 10,40 litros/100 km","Consumo en carretera 7,60 litros/100 km","Consumo urbano 15,40 litros/100 km",CO2 (g/km) 256 g/km,"Depósito de combustible (l) 60,00 litros",Nº de cilindros 6 cilindros,Sobrealimentación -,TracciónTracción trasera,Potencia (KW)160,Par (Nm)310,Velocidad máxima (km/h)250,"Aceleración 0-100 km/h (s)6,50"
2024-11-04 16:50:01.106559,Madrid,Detalles BMW Serie 1 (2020) ,Matriculado: 01/2020,126000,Fc Klassic Cars,Profesional,C,12 meses,21990,37068,CarroceríaBerlina,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)1.940,Combustible Diesel,Potencia (CV)116,Cilindrada (cm3) 1.496,Tipo de transmisión Automática secuencial,Número de marchas7,4319 mm Largo,1799 mm Ancho,1434 mm Alto,Capacidad del maletero (l)380/1.200,"Batalla (mm)
2.670","Consumo medio 3,80 litros/100 km","Consumo en carretera 3,50 litros/100 km","Consumo urbano 4,30 litros/100 km",CO2 (g/km) 100 g/km,"Depósito de combustible (l) 42,00 litros",Nº de cilindros 3 cilindros,Sobrealimentación Turbo de geometría variable,TracciónTracción delantera,Potencia (KW)85,Par (Nm)270,Velocidad máxima (km/h)200,"Aceleración 0-100 km/h (s)10,10"
2024-11-04 16:50:01.106559,Madrid,Detalles SKODA Octavia (2019) ,Matriculado: 04/2019,165000,Fc Klassic Cars,Profesional,ECO,12 meses,14990,29610,CarroceríaStationwagon,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)1.865,Combustible Gasolina/gas,Potencia (CV)130,Cilindrada (cm3) 1.498,Tipo de transmisión Automática secuencial,Número de marchas7,4667 mm Largo,1814 mm Ancho,1465 mm Alto,Capacidad del maletero (l)610/1.740,"Batalla (mm)
2.686","Consumo medio 3,80 litros/100 km","Consumo en carretera 3,20 litros/100 km","Consumo urbano 5,00 litros/100 km",CO2 (g/km) 96 g/km,"Depósito de combustible (l) 50,00 litros",Nº de cilindros 4 cilindros,Sobrealimentación Turbo,TracciónTracción delantera,Potencia (KW)96,Par (Nm)200,Velocidad máxima (km/h)202,"Aceleración 0-100 km/h (s)11,00"
2024-11-04 16:50:01.106559,Madrid,Detalles VOLKSWAGEN Passat (2019) ,Matriculado: 04/2019,210000,Fc Klassic Cars,Profesional,C,12 meses,14290,35511,CarroceríaBerlina,Número de puertas4,Número de plazas5,Peso/Masa max. autorizado (kg)1.975,Combustible Diesel,Potencia (CV)150,Cilindrada (cm3) 1.968,Tipo de transmisión Manual,Número de marchas6,4767 mm Largo,1832 mm Ancho,1456 mm Alto,Capacidad del maletero (l)586/0,"Batalla (mm)
2.791","Consumo medio 4,10 litros/100 km","Consumo en carretera 3,80 litros/100 km","Consumo urbano 4,90 litros/100 km",CO2 (g/km) 108 g/km,"Depósito de combustible (l) 59,00 litros",Nº de cilindros 4 cilindros,Sobrealimentación Turbo de geometría variable,TracciónTracción delantera,Potencia (KW)110,Par (Nm)340,Velocidad máxima (km/h)220,"Aceleración 0-100 km/h (s)8,70"
2024-11-04 16:50:01.106559,Madrid,Detalles DACIA Logan (2008) ,Matriculado: 03/2008,80000,Fc Klassic Cars,Profesional,B,12 meses,4990,10903,CarroceríaBerlina,Número de puertas4,Número de plazas5,Peso/Masa max. autorizado (kg)1.600,Combustible Diesel,Potencia (CV)85,Cilindrada (cm3) 1.461,Tipo de transmisión Manual,Número de marchas5,4250 mm Largo,1742 mm Ancho,1525 mm Alto,Capacidad del maletero (l)510/0,"Batalla (mm)
2.630","Consumo medio 5,20 litros/100 km","Consumo en carretera 4,80 litros/100 km","Consumo urbano 5,90 litros/100 km",CO2 (g/km) 120 g/km,"Depósito de combustible (l) 50,00 litros",Nº de cilindros 4 cilindros,Sobrealimentación Turbo,TracciónTracción delantera,Potencia (KW)63,Par (Nm)200,Velocidad máxima (km/h)163,"Aceleración 0-100 km/h (s)14,30"
2024-11-04 16:50:01.106559,Huelva,Detalles TOYOTA RAV-4 (2015) ,Matriculado: 09/2015,129233,MAES AUTOMOCION,Profesional,C,12 meses,19500,31250,CarroceríaTodo Terreno,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)2.220,Combustible Diesel,Potencia (CV)150,Cilindrada (cm3) 2.231,Tipo de transmisión Manual,Número de marchas6,4570 mm Largo,1845 mm Ancho,1660 mm Alto,Capacidad del maletero (l)547/1.746,"Batalla (mm)
2.660","Consumo medio 5,60 litros/100 km","Consumo en carretera 4,90 litros/100 km","Consumo urbano 6,80 litros/100 km",CO2 (g/km) 147 g/km,"Depósito de combustible (l) 60,00 litros",Nº de cilindros 4 cilindros,Sobrealimentación Turbo,TracciónTodo terreno tracción total permanente,Potencia (KW)110,Par (Nm)340,Velocidad máxima (km/h)190,"Aceleración 0-100 km/h (s)9,60"
2024-11-04 16:50:01.106559,Huelva,Detalles TOYOTA RAV-4 (2012) ,Matriculado: 09/2012,133252,MAES AUTOMOCION,Profesional,B,12 meses,15500,38450,CarroceríaTodo Terreno,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)2.190,Combustible Diesel,Potencia (CV)150,Cilindrada (cm3) 2.231,Tipo de transmisión Automática secuencial,Número de marchas6,4365 mm Largo,1815 mm Ancho,1685 mm Alto,Capacidad del maletero (l)586/0,"Batalla (mm)
2.560","Consumo medio 7,20 litros/100 km","Consumo en carretera 6,20 litros/100 km","Consumo urbano 8,80 litros/100 km",CO2 (g/km) 189 g/km,"Depósito de combustible (l) 60,00 litros",Nº de cilindros 4 cilindros,Sobrealimentación Turbo,TracciónTodo terreno tracción total permanente,Potencia (KW)110,Par (Nm)340,Velocidad máxima (km/h)185,"Aceleración 0-100 km/h (s)10,80"
2024-11-04 16:50:01.106559,Cádiz,Detalles MERCEDES-BENZ Clase A (2013) ,Matriculado: 04/2013,213000,SALGADO MOTOR,Profesional,B,No,13500,32885,CarroceríaBerlina,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)2.010,Combustible Diesel,Potencia (CV)136,Cilindrada (cm3) 1.796,Tipo de transmisión Manual,Número de marchas6,4292 mm Largo,1780 mm Ancho,1434 mm Alto,Capacidad del maletero (l)341/1.157,"Batalla (mm)
2.699","Consumo medio 4,60 litros/100 km","Consumo en carretera 4,00 litros/100 km","Consumo urbano 5,60 litros/100 km",CO2 (g/km) 121 g/km,"Depósito de combustible (l) 50,00 litros",Nº de cilindros 4 cilindros,Sobrealimentación Turbo de geometría variable,TracciónTracción delantera,Potencia (KW)100,Par (Nm)300,Velocidad máxima (km/h)210,"Aceleración 0-100 km/h (s)9,30"
